2026-01-16 22:26:59 - INFO - Fresh start requested, clearing existing data...
2026-01-16 22:27:00 - INFO - Starting HOSE statistics generation: total_compounds=928443, max_radius=6, chunk_size=10000
2026-01-16 22:31:12 - INFO - Chunk 1: processed=10000, failed=0, shifts=1194564, upserted=244101, progress=1.1%
2026-01-16 22:35:22 - INFO - Chunk 2: processed=10000, failed=0, shifts=1193280, upserted=248097, progress=2.2%
2026-01-16 22:39:28 - INFO - Chunk 3: processed=10000, failed=0, shifts=1187022, upserted=242222, progress=3.2%
2026-01-16 22:43:35 - INFO - Chunk 4: processed=10000, failed=0, shifts=1184532, upserted=244101, progress=4.3%
2026-01-16 22:47:46 - INFO - Chunk 5: processed=10000, failed=0, shifts=1219212, upserted=242796, progress=5.4%
2026-01-16 22:51:52 - INFO - Chunk 6: processed=10000, failed=0, shifts=1200522, upserted=249601, progress=6.5%
2026-01-16 22:56:03 - INFO - Chunk 7: processed=10000, failed=0, shifts=1217748, upserted=246171, progress=7.5%
2026-01-16 23:00:14 - INFO - Chunk 8: processed=10000, failed=0, shifts=1216350, upserted=245484, progress=8.6%
2026-01-16 23:04:21 - INFO - Chunk 9: processed=10000, failed=0, shifts=1199280, upserted=244894, progress=9.7%
2026-01-16 23:08:26 - INFO - Chunk 10: processed=10000, failed=0, shifts=1188102, upserted=241718, progress=10.8%
2026-01-16 23:12:36 - INFO - Chunk 11: processed=10000, failed=0, shifts=1202418, upserted=248634, progress=11.8%
2026-01-16 23:16:41 - INFO - Chunk 12: processed=10000, failed=0, shifts=1203006, upserted=246670, progress=12.9%
2026-01-16 23:20:45 - INFO - Chunk 13: processed=10000, failed=0, shifts=1194318, upserted=243324, progress=14.0%
2026-01-16 23:24:52 - INFO - Chunk 14: processed=10000, failed=0, shifts=1205682, upserted=236714, progress=15.1%
2026-01-16 23:29:00 - INFO - Chunk 15: processed=10000, failed=0, shifts=1205622, upserted=248515, progress=16.2%
2026-01-16 23:33:04 - INFO - Chunk 16: processed=10000, failed=0, shifts=1190574, upserted=239633, progress=17.2%
2026-01-16 23:37:19 - INFO - Chunk 17: processed=10000, failed=0, shifts=1228764, upserted=247309, progress=18.3%
2026-01-16 23:41:24 - INFO - Chunk 18: processed=10000, failed=0, shifts=1192728, upserted=243530, progress=19.4%
